Key,Summary,Components,Labels,Status,Sprint,Reporter,Assignee,Priority
ALC-3074,[Web][Production][Settings]- Secondary Subscription Detail is Wrong for One-off Redemption Coupon Users (Regression),Web,Beta_Drop12;ProjectA;UI;Web_BetaDrop12;Web_BetaDrop12v0.0.59,Testing,Drop 13,NurZulaikha Iberahim,Hari Prasath Arumugam,Critical (L1)
ALC-3037,[Android/iOS/Web/ATV/LG/TV Stick] [Content Pages] Battle of Marriage Missing E2 & E3,Android;Android TV;iOS;TV Stick;Web;WebOS,ATV_BetaDrop12;ATV_BetaDrop12v24.12.19(03);Android_BetaDrop12;Android_BetaDrop12v24.12.21(01);Beta_Drop12;Beta_Drop12.5(HotFix);Beta_Drop13;Metadata;ProjectA;Review;STVLG_BetaDrop13v24.12.26;STV_BetaDrop13;TVStick_BetaDrop12;TVStick_BetaDrop12.5(HotFix);TVStick_BetaDrop12.5(HotFix)v25.01.09.01(01);TVStick_BetaDrop12v24.12.19;UI;Web_BetaDrop12;Web_BetaDrop12v0.0.59;iOS_BetaDrop12;iOS_BetaDrop12v24.12.21(01);post_launch,Open,Drop 13,"LIM, Valerie","LIM, Valerie",Critical (L1)
ALC-3024,[STV-LG][TV Stick][Production][Content Pages] Channel Logo missing on search result page,Smart TV;TV Stick;WebOS,Beta_Drop12;Metadata;ProjectA;Review;STVLG_BetaDrop12v24.12.26;STV_BetaDrop12;TVStick_BetaDrop12;TVStick_BetaDrop12v24.12.19;post_launch,Open,Drop 13,Hansikaa Aggarwal,Anmol Rajput,Critical (L1)
ALC-3006,{Internal Pentest - Jan 2025} (Astro Sooka - Beta Phase 12) Captcha Bypass,Web,BETA;ProjectA;post_launch;security_scan,Open,Drop 13,KhairulAzlan,Gaurav Mittal,Critical (L1)
ALC-2992,[STV - LG][Production][User Interaction and Content Discovery Experience Features] - Missing Channel Logo on Continue Watching Rail Posters and View All Page,WebOS,Beta_Drop12;Metadata;ProjectA;Review;STVLG_BetaDrop12v24.12.26;STV_BetaDrop12;post_launch,Development/Bug Fix,Drop 13,Hansikaa Aggarwal,Nandini Sen,Critical (L1)
ALC-2989,"[ATV][STV][Samsung, LG, VIDAA][BETA] - Default audio shows 'Mandarin' instead of 'Cantonese' after user set audio language to 'Cantonese' through settings.",Android TV;Tizen;VIDAA;WebOS,ATV_BetaDrop12;ATV_BetaDrop12v24.12.19(03);Beta_Drop12;ProjectA;Review;STVLG_BetaDrop12v24.12.26;STVSamsung_BetaDrop12v24.12.26;STVVIDAA_BetaDrop12v24.12.26;STV_BetaDrop12,Development/Bug Fix,Drop 13,Iman Najwa Mohd Razly,Nandini Sen,High (L2)
ALC-2982,[ATV][BETA] - Auto playback instead of redirect to content details page after user pair tv from set reminder,Android TV,ATV_BetaDrop12;ATV_BetaDrop12v24.12.19(03);Beta_Drop12;ProjectA;Review,Development/Bug Fix,Drop 13,Iman Najwa Mohd Razly,Nandini Sen,High (L2)
ALC-2974,[Web/ATV/STV - LG/sooka TV Stick][Production][Content Pages] - The Arrangement of Episodic List is Incorrect (Call Me By Fire) - Not Following Sort Order,Android;Android TV;iOS;TV Stick;Web;WebOS,ATV_BetaDrop12;ATV_BetaDrop12v24.12.19(03);Android_BetaDrop12;Android_BetaDrop12v24.12.21(01);Beta_Drop12;Beta_Drop13;ProjectA;Review;STVLG_BetaDrop13v24.12.26;STV_BetaDrop13;TVStick_BetaDrop12;TVStick_BetaDrop12v24.12.19;UI;Web_BetaDrop12;Web_BetaDrop12v0.0.59;iOS_BetaDrop12;iOS_BetaDrop12v24.12.21(01);post_launch,Open,Drop 13,NurZulaikha Iberahim,Nandini Sen,High (L2)
ALC-2964,[ATV][Production][Content Pages]- Wrong Focus Positioning on Linear Content Detail Page,Android TV,ATV_BetaDrop12;ATV_BetaDrop12v24.12.19(03);Beta_Drop12;ProjectA;Review;UI;post_launch,Open,Drop 13,NurZulaikha Iberahim,Bhupendra Bartwal,High (L2)
ALC-2927,[ATV][BETA][Player and Consumption Experience Feature] - User only able to navigate one channel or skip channel when user press 'Up' on RCU multiple times from mini EPG.,Android TV,ATV_BetaDrop12;ATV_BetaDrop12v24.12.19(03);Beta_Drop12;ProjectA;Review,Development/Bug Fix,Drop 13,Iman Najwa Mohd Razly,Nandini Sen,High (L2)
ALC-2924,[ATV][BETA][Player and Consumption Experience Feature] - Current channel on mini EPG is selectable.,Android TV,ATV_BetaDrop12;ATV_BetaDrop12v24.12.19(03);Beta_Drop12;ProjectA;Review,Development/Bug Fix,Drop 13,Iman Najwa Mohd Razly,Nandini Sen,High (L2)
ALC-2920,[Web][STV-LG][Production][Content Pages] Chinese Subtitle Incorrectly Mapped as Mandarin on Content Detail Page,Smart TV;Web;WebOS,Beta_Drop12;ProjectA;Review;STVLG_BetaDrop12v24.12.19;STV_BetaDrop12;UI;Web_BetaDrop12;Web_BetaDrop12v0.0.58;post_launch,Open,Drop 13,Hansikaa Aggarwal,Bhupendra Bartwal,High (L2)
ALC-2916,[ATV][TV-Stick][Production][SOOKA-Player and Consumption Experience Features] Chinese Subtitle Mapped as Mandarin on Player,TV Stick;Web,Beta_Drop12;ProjectA;Review;TVStick_BetaDrop12;TVStick_BetaDrop12v24.12.19;UI;Web_BetaDrop12;Web_BetaDrop12v0.0.58;post_launch,Development/Bug Fix,Drop 13,Hansikaa Aggarwal,Rajan Shergill,Critical (L1)
ALC-2914,"[Android, iOS][BETA] - When switching to a different resolution, the user is reverted to the original plan resolution when switching to another channel using channel up or down.",Android;iOS,Android_BetaDrop12;Android_BetaDrop12v24.12.21(01);Beta_Drop12;ProjectA;Regression;iOS_BetaDrop12;iOS_BetaDrop12v24.12.21(01);post_launch,Development/Bug Fix,Drop 13,Iman Najwa Mohd Razly,Nandini Sen,Critical (L1)
ALC-2911,[Android][Production][User Interaction and Content Discovery Experience Features] - Notification Permission Popup is Not Available Upon Reinstalling sooka App,Android,Android_BetaDrop12;Android_BetaDrop12v24.12.21(01);ProjectA;UX;post_launch,Development/Bug Fix,Drop 13,Aliff Danish,Nandini Sen,Critical (L1)
ALC-2910,[ATV][Production][Player and Consumption Experience Features] - Overlay Player Activated After Mid-Roll Ads ,Android TV,ATV_BetaDrop12;ATV_BetaDrop12v24.12.19(03);Beta_Drop12;ProjectA;UI;post_launch,Development/Bug Fix,Drop 13,NurZulaikha Iberahim,Nandini Sen,Critical (L1)
ALC-2909,[Web][Production][SOOKA-Settings] 'Chinese' Incorrectly Displayed as 'Mandarin' in Subtitle Language Settings (REGRESSION),Web,Beta_Drop12;ProjectA;Review;UX;Web_BetaDrop12;Web_BetaDrop12v0.0.58;post_launch,Development/Bug Fix,Drop 13,Hansikaa Aggarwal,Nandini Sen,Critical (L1)
ALC-2907,[IOS][Android][Production][Viewer Onboarding Features] - Incorrect Guest Flow From VOD Content Page,Android;iOS,Android_BetaDrop12;Android_BetaDrop12v24.12.21(01);ProjectA;Review;UI;UX;iOS_BetaDrop12;iOS_BetaDrop12v24.12.21(1);post_launch,Development/Bug Fix,Drop 13,Aliff Danish,Nandini Sen,Critical (L1)
ALC-2902,[iOS][BETA] - Unable to playback any O&O channel.,iOS,Beta_Drop12;ProjectA;Review;iOS_BetaDrop12;iOS_BetaDrop12v24.12.21(01),Development/Bug Fix,Drop 13,Iman Najwa Mohd Razly,Nandini Sen,High (L2)
ALC-2898,[ATV][Production][User Interaction and Content Discovery Experience Features] - Channel Logo Are On Top of Content Title and Gradient Overlay in Continue Watching Rail,Android TV,ATV_BetaDrop12;ATV_BetaDrop12v24.12.19(03);Beta_Drop12;ProjectA;UI;post_launch,Development/Bug Fix,Drop 13,NurZulaikha Iberahim,Nandini Sen,Critical (L1)
ALC-2896,[STV - LG][Production][User Interaction and Content Discovery Experience Features] - Missing Gradient on Continue Watching Poster,WebOS,Beta_Drop12;ProjectA;STVLG_BetaDrop11v24.12.19;STV_BetaDrop12;UI;post_launch,Development/Bug Fix,Drop 13,Chong Wai Yip,Nandini Sen,Critical (L1)
ALC-2893,[Android][Beta] - OPPO Reno3 crash once user try to playback VOD.,Android,Android_BetaDrop12;Android_BetaDrop12v24.12.21(01);Beta_Drop12;ProjectA;Review,Development/Bug Fix,Drop 13,Iman Najwa Mohd Razly,Nandini Sen,High (L2)
ALC-2892,"[iOS][Beta] - iPhone 14 crash once user click ""BACK"" CTA  after exit subscribe page from change resolution.",iOS,Beta_Drop12;ProjectA;Review;iOS_BetaDrop12;iOS_BetaDrop12v24.12.21(01),Development/Bug Fix,Drop 13,Iman Najwa Mohd Razly,Nandini Sen,High (L2)
ALC-2880,[ATV][STV-LG][sooka TV Stick][Web][Android][iOS][Production][Player and Consumption Experience Features] - Selected Subtitle is Not Reflected On The Player for Linear Channels,Android;Android TV;iOS;Smart TV;TV Stick;Web;WebOS,ATV_BetaDrop11;ATV_BetaDrop11v24.12.12(02);Android_BetaDrop11;Android_BetaDrop11v24.12.13(03);Beta_Drop11;Beta_Drop12;ProjectA;STVLG_BetaDrop12v24.12.19;STV_BetaDrop12;TVStick_BetaDrop11;TVStick_BetaDrop11v24.12.13.01(01);UI;Web_BetaDrop12;Web_BetaDrop12v0.0.58;iOS_BetaDrop11;iOS_BetaDrop11v24.12.13(4);post_launch,Development/Bug Fix,Drop 13,NurZulaikha Iberahim,Nandini Sen,Critical (L1)
ALC-2877,[Web][TV Stick][ATV][Player] VOD Subtitle availability inconsistent across episodes for specific content ,Android;Android TV;iOS;TV Stick;Web,ATV_BetaDrop12;ATV_BetaDrop12v24.12.19(03);Android_BetaDrop12;Android_BetaDrop12v24.12.21(01);Beta_Drop12;ProjectA;UX;Web_BetaDrop12;iOS_BetaDrop12;iOS_BetaDrop12v24.12.21(01);post_launch,Development/Bug Fix,Drop 13,Farah Wahidah,Nicholas Lee,Critical (L1)
ALC-2874,[Web/iOS/Android] Uppercase “Sooka” on Profile upon Maxis Activation,Android;EV;iOS;Web,Android_BetaDrop11;Android_BetaDrop11v24.12.13(03);ProjectA;UI;Web_BetaDrop11;Web_BetaDrop11v0.0.57;iOS_BetaDrop11;iOS_BetaDrop11v24.12.13(4);post_launch,Open,Drop 13,Farah Wahidah,Farah Wahidah,High (L2)
ALC-2869,[IOS][Production][SOOKA-Player and Consumption Experience Features] Subtitle in Player Mapped as 'Default',iOS,Beta_Drop12;ProjectA;Review;UX;iOS_BetaDrop12;iOS_BetaDrop12v24.12.21(01);post_launch,Development/Bug Fix,Drop 13,Hansikaa Aggarwal,Nandini Sen,Critical (L1)
ALC-2865,[ATV][Android][Production][SOOKA-Player and Consumption Experience Features] Audio on Player Mapped as 'Zh-Cmn'  for Mandarin on Linear Channel ,Android;Android TV,ATV_BetaDrop11;ATV_BetaDrop11v24.12.12(02);Android_BetaDrop11;Android_BetaDrop11v24.12.13(03);Beta_Drop11;ProjectA;Review;UI;post_launch,Development/Bug Fix,Drop 13,Hansikaa Aggarwal,Nandini Sen,Critical (L1)
ALC-2854,[IOS iPad][Production][Player and Consumption Experience Features] - Progress Bar is Not Reflecting Real-Time Progress (Linear),iOS,ProjectA;UX;post_launch,Development/Bug Fix,Drop 13,Aliff Danish,Rajendra Singh,Critical (L1)
ALC-2853,[ATV][BETA] - Crown label on asset not removed accordingly after user purchase/upgrade to premium from resolution.,Android TV,ATV_BetaDrop11;ATV_BetaDrop11v24.12.12(02);Beta_Drop11;ProjectA;Review,Development/Bug Fix,Drop 13,Shafiqah Norazmi,Nandini Sen,High (L2)
ALC-2852,[ATV][SOOKA TV Stick][STV][BETA] - Not auto change resolution to 1080p and playback after user successfully purchase/upgrade to premium.,Android TV;Tizen;TV Stick,ATV_BetaDrop11;ATV_BetaDrop11v24.12.12(02);Beta_Drop11;Beta_Drop12;ProjectA;Review;STVSamsung_BetaDrop12v24.12.26;STV_BetaDrop12;TVStick_BetaDrop12;TVStick_BetaDrop12v24.12.19,Development/Bug Fix,Drop 13,Shafiqah Norazmi,Nandini Sen,High (L2)
ALC-2846,[Web/ATV/LG/TV Stick][Production][Content Pages] - Subtitles Metadata Are Missing on Linear Content Detail Page,Android TV;TV Stick;Web;WebOS,ATV_BetaDrop11;ATV_BetaDrop11v24.12.12(02);Beta_Drop11;ProjectA;STVLG_BetaDrop11v24.12.12;STV_BetaDrop11;TVStick_BetaDrop11;TVStick_BetaDrop11v24.12.13.01(01);UI;Web_BetaDrop11;Web_BetaDrop11v0.0.57;post_launch,Open,Drop 13,NurZulaikha Iberahim,Karan Mittal,Critical (L1)
ALC-2843,[Web][Production][SOOKA-Settings] Updating Mobile Number Not Working as Expected,Web,Beta_Drop11;ProjectA;UX;Web_BetaDrop11;Web_BetaDrop11v0.0.57;post_launch,Development/Bug Fix,Drop 13,Hansikaa Aggarwal,Rajan Shergill,Critical (L1)
ALC-2841,[Web][production][[Content Pages] - Banner Does not Update When Content Ends and Progress Bar Extends Past Container,Web,Beta_Drop11;ProjectA;UI;Web_BetaDrop11;Web_BetaDrop11v0.0.57;post_launch,Development/Bug Fix,Drop 13,NurZulaikha Iberahim,Rajan Shergill,Critical (L1)
ALC-2839,[Android TV][Production][SOOKA-Player and Consumption Experience] Both 'Cantonese' and 'Chinese' Audio Displayed Selected,Android TV,ATV_BetaDrop11;ATV_BetaDrop11v24.12.12(02);Beta_Drop11;ProjectA;UI;post_launch,Development/Bug Fix,Drop 13,Hansikaa Aggarwal,Nandini Sen,Critical (L1)
ALC-2838,"[Android][production][[Settings] - Payment Pending Issues: Play Store Pop up Error, and App Crash on Subscription Attempt",Android,Android_BetaDrop11;Android_BetaDrop11v24.12.13(03);Beta_Drop11;ProjectA;UX;post_launch,Development/Bug Fix,Drop 13,NurZulaikha Iberahim,Nandini Sen,Critical (L1)
ALC-2830,"[Web, Android, iOS][BETA] - Pop up 'Unable to play content' message instead 'Content Not Available In Your Region' when user connected VPN to playback.",Android;iOS;Web,Android_BetaDrop11;Android_BetaDrop11v24.12.13(03);Beta_Drop11;ProjectA;Web_BetaDrop11;Web_BetaDrop11v0.0.57;iOS_BetaDrop11;iOS_BetaDrop11v24.12.13;post_launch,Development/Bug Fix,Drop 13,Iman Najwa Mohd Razly,Nandini Sen,Critical (L1)
ALC-2826,[iOS][GA] - Event Tagging Inaccuracy ,iOS,GA;ProjectA;iOS_BetaDrop9;iOS_BetaDrop9v24.12.02(1);post_launch,Open,Drop 13,Farah Wahidah,Bhupendra Bartwal,High (L2)
ALC-2814,[iOS][Android][Production][Settings] - Restore Purchase CTA nonexistent in Profile for Free User (Non-Premium),Android;iOS,Android_BetaDrop11;Android_BetaDrop11v24.12.13(03);Beta_Drop11;ProjectA;UI;UX;iOS_BetaDrop11;iOS_BetaDrop11v24.12.13(4);post_launch,Open,Drop 13,Aliff Danish,Rajendra Singh,Critical (L1)
ALC-2811,[ATV][Production][SOOKA-Player and Consumption Experience] Incorrect Metadata Display on Live Player,Android TV,ATV_BetaDrop11;ATV_BetaDrop11v24.12.12(02);Beta_Drop11;ProjectA;UI;post_launch,Development/Bug Fix,Drop 13,Hansikaa Aggarwal,Nandini Sen,Critical (L1)
ALC-2806,[STV][LG][BETA] - Stack poster asset on second fold of content details page on VOD closed/series assets.,WebOS,Beta_Drop11;Beta_Drop12;ProjectA;Regression;STVLG_BetaDrop11v24.12.12;STVLG_BetaDrop12v24.12.19;STV_BetaDrop11;STV_BetaDrop12;post_launch,Development/Bug Fix,Drop 13,Iman Najwa Mohd Razly,Nandini Sen,Critical (L1)
